uheng 一
uhengyi 丁
uhengyi 丂
uhengyi 七
ushuheng 丄
uhengshu 丅
uhengpie 丆
uhengyi 万
uhengshui 丈
uerheng 三
ubuheng 上
uhengbu 下
uhengshu 丌
uhengxiao 不
uhengheng 与
uhengyi 丏
uxiayi 丐
uyitu 丑
urenheng 丒
uerdian 专
uyueheng 且
ubuheng 丕
unianyi 世
usaheng 丗
uchanggong 丘
uhengnei 丙
ushuheng 业
ucongheng 丛
uhengxiao 东
usiheng 丝
uliaoheng 丞
uwangsi 丟
ubeiheng 丠
uhengshan 両
upiequ 丢
uqiheng 丣
uhengcong 两
uyapie 严
ubaya 並
utuyi 丧
ushu 丨
uyishu 丩
urenshu 个
ubashu 丫
upan 丬
ukoushu 中
uyishi 丮
ushanshu 丯
usanshu 丰
uyiheng 丱
ulvshu 串
uchuanpie 丳
ushukou 临
uyegan 丵
udian 丶
uba 丷
ujiudian 丸
ukuanger 丹
ulidian 为
udianwang 主
ujingdian 丼
uhengdian 丽
uxingshi 举
upie 丿
uyi 乀
uyi 乁
upiedian 乂
uyipie 乃
uyidian 乄
udaoshui 久
uyiren 乆
upieqi 乇
upiesi 么
upiedian 义
upiepie 乊
udianyi 之
upieheng 乌
urener 乍
upieyi 乎
upiezhi 乏
upiexiao 乐
upiedian 乑
uqiupie 乒
uqiudian 乓
uyaoshu 乔
uchangjin 乕
uqianbei 乖
uhecao 乗
uhebei 乘
uyi 乙
uyi 乚
uyi 乛
uyiyi 乜
uyipie 九
urenyi 乞
uyiyi 也
uyishui 习
uyipie 乡
ushanyi 乢
uyaoyi 乣
uxiayi 乤
upieyi 乥
uyidian 书
udouyi 乧
utaiyi 乨
uzhanyi 乩
uyitian 乪
ujiayi 乫
ujuyi 乬
ushiyi 乭
umaoyi 乮
uhuyi 乯
uyitou 买
usheyi 乱
uciyi 乲
ufuyi 乳
uzheyi 乴
uxinyi 乵
ufuyi 乶
ushayi 乷
uyemu 乸
uzhuoyi 乹
usuoyi 乺
uyuyi 乻
uzhuyi 乼
uzheyi 乽
uzhuoqi 乾
uzhaoyi 乿
uguiri 亀
ushiqi 亁
uzhaoyi 亂
ulinyi 亃
uyiyi 亄
uyi 亅
uyiyi 了
udaoyi 亇
uyiyi 予
udaoyi 争
uhengjin 亊
uhengjin 事
uhengheng 二
uhengding 亍
ueryi 于
uhengkao 亏
ueryi 亐
uersi 云
uhengji 互
uhengqi 亓
ugongyi 五
ucaoheng 井
uerer 亖
ushaner 亗
uhengdan 亘
uerdian 亙
uhengye 亚
ucier 些
ugongzhong 亜
usier 亝
uershu 亞
uliaoheng 亟
uer 亠
ueryi 亡
uerji 亢
udianqi 亣
uliucha 交
uerren 亥
uerba 亦
ulipie 产
uerliao 亨
uertian 亩
uyiyi 亪
uhengheng 享
uerxiao 京
uerding 亭
uerji 亮
uerri 亯
uerxiao 亰
uerdan 亱
ulimu 亲
uertuo 亳
uerjiu 亴
uyizhi 亵
uerdan 亶
uchanjian 亷
uxiangdan 亸
uerqie 亹
upieshui 人
uren 亻
urenheng 亼
urendian 亽
urenyi 亾
urenyi 亿
urenshi 什
urener 仁
urenli 仂
urending 仃
uchangren 仄
urenyou 仅
urenbu 仆
urenjiu 仇
urenba 仈
urenji 仉
urenyi 今
urenshu 介
urenren 仌
urennai 仍
urenren 从
urensi 仏
urenshi 仐
urenbi 仑
urendian 仒
urenfan 仓
urenzi 仔
urenshi 仕
urenye 他
urenzhang 仗
urencun 付
urenshan 仙
urenshan 仚
urentuo 仛
urengong 仜
urengong 仝
urenren 仞
urenqian 仟
urengan 仠
urenqi 仡
urenshao 仢
urenyi 代
urendian 令
ubiren 以
urenxiao 仦
ushangren 仧
urensan 仨
urenshang 仩
urenyi 仪
urenme 仫
urenmen 们
urenren 仭
urenfan 仮
urenshao 仯
urenang 仰
urenjin 仱
urenzhong 仲
urenbi 仳
urenyue 仴
urenwu 仵
urenniu 件
urenjie 价
urenyao 仸
urenfeng 仹
urenxue 仺
urenren 任
urenwang 仼
urenfen 份
urenhu 仾
urenfang 仿
urengong 伀
urenzhi 企
urenfu 伂
urenyu 伃
urendiao 伄
urentun 伅
urenwu 伆
urenshu 伇
urenxin 伈
urenkang 伉
urenyin 伊
urenji 伋
urene 伌
urenwu 伍
urenzhi 伎
urenquan 伏
urenge 伐
urenmu 休
urenjin 伒
urenbu 伓
urenrong 伔
urenfu 伕
urenyou 伖
urencong 众
urenyou 优
urenhuo 伙
urenyun 会
urenqu 伛
urenshi 伜
urenyun 伝
urenshi 伞
urenwei 伟
urenzhuan 传
urenche 伡
urenya 伢
urenjian 伣
urenli 伤
urenchang 伥
urenlun 伦
urencang 伧
urenyun 伨
urenwen 伩
urenwei 伪
urenheng 伫
urenchi 伬
urenxuan 伭
urennu 伮
urenbai 伯
urengu 估
urenxiao 伱
urenni 伲
urenshi 伳
urenban 伴
urensi 伵
urenling 伶
urenyou 伷
urenshen 伸
urenqie 伹
urensi 伺
urenping 伻
urenyi 似
urenjia 伽
urenpi 伾
urenzhi 伿
urenlv 佀
urentai 佁
urenzheng 佂
urentian 佃
urengan 佄
urenwei 佅
urendan 但
urenning 佇
urenbu 佈
urenqu 佉
urenpi 佊
urenzhao 佋
urenci 佌
urenli 位
urendi 低
urenzhu 住
urenzuo 佐
urenyou 佑
urenyang 佒
urenben 体
urenzhan 佔
urenke 何
urenbi 佖
urenta 佗
urenshi 佘
urenmu 余
urenshi 佚
urenfu 佛
urenzha 作
urenju 佝
urennv 佞
urendong 佟
urener 你
urenshan 佡
urenju 佢
urenyong 佣
urenwa 佤
urenheng 佥
urenshi 佦
urenka 佧
urenbao 佨
urenza 佩
urenhui 佪
urenge 佫
urenlao 佬
urenjiang 佭
urenhe 佮
urenyang 佯
urenbai 佰
urenzheng 佱
urenming 佲
urengui 佳
urener 佴
urenbing 併
urenji 佶
urengen 佷
urenshe 佸
urenwei 佹
urenquan 佺
urenzhao 佻
urenjiao 佼
urenci 佽
urenyue 佾
urenli 使
urenxing 侀
urenxian 侁
urentuo 侂
urenchuan 侃
urenzhi 侄
urenhai 侅
umucong 來
urenyi 侇
urenduo 侈
urenkua 侉
urenguang 侊
urenlie 例
ujinyun 侌
urensi 侍
urenmi 侎
urenzhu 侏
urenxue 侐
urenyou 侑
urenan 侒
urenyu 侓
urenmou 侔
urener 侕
urence 侖
urentong 侗
urenzhai 侘
urenshi 侙
urenxun 侚
urengong 供
urenzhou 侜
urenyi 依
urenru 侞
urencun 侟
urenjia 侠
urenxi 価
urenzai 侢
urenlv 侣
urenkao 侤
urenyao 侥
urenzhen 侦
urenze 侧
urenqiao 侨
urenhui 侩
urenqi 侪
urenwang 侫
urennong 侬
urenjin 侭
urenmei 侮
urenshi 侯
urenjun 侰
urencheng 侱
urenchen 侲
urenzuo 侳
urendao 侴
urenqin 侵
urenlv 侶
urenju 侷
urendou 侸
urenting 侹
urenjin 侺
urendui 侻
urenbo 侼
urennan 侽
urenxiao 侾
urengeng 便
urentuo 俀
urenwu 俁
urenxi 係
urenzu 促
urenwo 俄
urenqiu 俅
urenyu 俆
urenkuang 俇
urengao 俈
urenwu 俉
urenjun 俊
urenyi 俋
urenfu 俌
urenliang 俍
urenqie 俎
urenxiao 俏
urenli 俐
urenyong 俑
urenwan 俒
urenjing 俓
urenjian 俔
urensong 俕
urenfou 俖
urengu 俗
urenfu 俘
urenxi 俙
urenli 俚
urenmian 俛
urenpin 俜
urendai 保
urendao 俞
urenyi 俟
urenjia 俠
urenyan 信
urenshan 俢
urenwu 俣
urendi 俤
urenche 俥
urenshou 俦
urenzhi 俧
urenyan 俨
urenliang 俩
urenli 俪
urenlai 俫
urensi 俬
urenqian 俭
urenshan 修
urenfu 俯
urenhe 俰
