agu A股
bck B超
baba 爸爸
babd 八表
babf 八遍
babg 把柄
babh 八佰
babi 芭比
babk 八宝
babw 八倍
baca 叭嚓
bacau 八岔
bace 八册
bacee 扒车
baci 把持
baciu 八次
back 拔草
backi 罢朝
bacm 八成
bacmu 八层
bacp 靶场
bacu 拔出
bacv 拔萃
bacy 八村
bada 八大
badd 拔掉
badf 八点
badg 扒钉
badh 把待
badi 拔地
badk 霸道
badl 巴东
badm 扒等
bado 把舵
badr 巴豆
badt 八段
badu 八度
bady 八吨
bafm 把风
bafn 八分
bafp 八方
bafu 八幅
bagc 扒光
bage 八个
bagg 八怪
bagk 拔高
bagl 罢工
bagn 把根
bago 八国
bagp 八纲
bags 八卦
bagt 把关
bagu 八股
bagv 八桂
baha 巴哈
bahe 拔河
bahh 拔海
bahk 把好
bahm 八横
bahn 疤痕
baho 把货
bahu 跋扈
bajd 八角
bajf 拔尖
bajg 八景
baji 吧唧
bajs 八家
bajt 八卷
baju 霸据
bajv 霸据
bajx 巴结
bajy 巴郡
bake 罢课
bakg 八块
bakh 八开
bakr 把口
baku 巴库
bala 扒拉
balb 巴林
balc 八两
bald 罢了
balg 八零
balh 疤癞
bali 巴黎
balj 把揽
balk 巴老
balq 八六
balr 八楼
balu 八路
balw 芭蕾
balx 罢咧
baly 巴伦
bama 爸妈
bamb 八闽
bamd 八秒
bamf 罢免
bamh 把脉
bami 八米
bamk 拔毛
bamm 巴盟
bamn 把门
bamu 巴姆
bamw 把每
bana 把那
banb 把您
band 把尿
banf 八年
bani 把你
banl 巴农
banm 把能
banv 吧女
bapf 八篇
bapg 巴平
baph 八排
bapi 扒皮
bapj 坝盘
bapm 八捧
bapo 八婆
baqc 八强
baqd 巴乔
baqf 八千
baqi 霸气
baqs 菝葜
baqt 霸权
baqu 坝区
bari 八日
basa 巴沙
base 跋涉
bash 罢赛
basi 八十
basiu 八四
basj 把伞
basja 巴山
bask 坝埽
basl 巴松
basm 八省
basn 拔身
basp 巴桑
baspe 坝上
basr 把手
basre 把守
basu 巴蜀
basuu 八速
basv 八岁
basve 把水
bata 把他
batd 八条
bate 巴特
batf 八天
bath 吧台
batk 八套
batl 八通
batm 巴腾
bato 靶托
batp 巴塘
batr 把头
batt 八团
batu 把图
batv 拔腿
batx 八帖
bavh 八爱
bavn 靶恩
bawj 八万
bawn 把稳
bawo 把握
bawp 霸王
bawu 八五
baww 八位
baxb 靶心
baxd 八小
baxf 八仙
baxg 把兴
baxh 把学
baxi 巴西
baxie 把戏
baxq 罢休
baxs 拔下
baxx 拔些
baxy 八旬
baya 拔牙
bayb 巴音
baye 霸业
bayg 拔营
bayh 八月
bayi 八一
bayj 巴彦
bayp 拔秧
bayt 八元
bayz 八月
baze 八折
bazh 把斋
bazhe 把在
bazi 八字
bazie 坝址
bazj 霸占
bazn 八珍
bazp 巴掌
bazr 八周
bazu 霸主
bazui 跋足
bazv 把最
bbb 并不比
bbbb 彬彬
bbbf 鬓边
bbbh 宾白
bbbi 并不比
bbbk 不卑不亢
bbbl 半表半里
bbbu 宾补
bbby 褒贬不一
bbbz 部颁标准
bbc 办不成
bbce 殡车
bbci 宾词
bbcie 摈斥
bbcl 宾从
bbclu 白不呲咧
bbcm 办不成
bbct 宾川
bbcu 摈除
bbcy 百步穿杨
bbdd 斑斑点点
bbde 薄薄的
bbdee 不变的
bbdei 北部的
bbdeu 颁布的
bbdk 办不到
bbdl 宾东
bbdn 百般刁难
bbdo 并不多
bbdq 北部地区
bbdr 白扁豆
bbds 巴巴多斯
bbdt 包办代替
bbdy 并不等于
bbf 笨办法
bbff 本本分分
bbfn 缤纷
bbfu 背包袱
bbfx 辨别方向
bbgd 宝贝疙瘩
bbge 宾格
bbgh 殡改
bbgo 宾果
bbgs 步步高升
bbgt 宾馆
bbgu 髌骨
bbh 版本号
bbhe 滨河
bbhh 滨海
bbhhe 比比划划
bbhk 版本号
bbhs 半壁河山
bbhu 滨湖
bbhv 并不会
bbhy 包办婚姻
bbhz 抱宝怀珍
bbj 半杯酒
bbjb 濒近
bbjc 滨江
bbjd 鬓角
bbjf 鞭不及腹
bbjg 不变价格
bbjl 变本加厉
bbjq 半杯酒
bbjs 比比皆是
bbjso 半壁江山
bbjx 步步惊心
bbjxe 不避艰险
bbjz 本报记者
bbjze 标本兼治
bbk 不包括
bbke 宾客
bbkm 必不可免
bbko 不包括
bbkp 并不可怕
bbks 必不可少
bbl 冰冰凉
bblb 濒临
bblc 不变量
bble 颁布了
bblf 殡殓
bblfo 半边莲
bblfu 白白浪费
bbli 宾利
bbll 斑驳陆离
bbly 巴比伦
bbmi 八百米
bbmk 鬓毛
bbmm 爸爸妈妈
bbmn 本部门
bbnn 白白嫩嫩
bbnni 别别扭扭
bbnw 败不馁
bbp 抱不平
bbpg 抱不平
bbpi 苯并芘
bbpm 宾朋
bbpp 白白胖胖
bbq 保不齐
bbqg 遍布全国
bbqi 摈弃
bbql 跛鳖千里
bbqq 北半球
bbqqi 彪炳千秋
bbqu 八步区
bbqv 八步区
bbrd 兵败如山倒
bbs 并不是
bbsc 鬓霜
bbsci 彪炳史册
bbsi 濒死
bbsii 步兵师
bbsj 八宝山
bbsje 勃勃生机
bbsm 不辨菽麦
bbso 不必说
bbsp 比不上
bbss 颁布实施
bbto 巴比妥
bbtt 蹦蹦跳跳
bbtte 百般挑剔
bbtx 宾铁
bbvs 苯丙氨酸
bbwc 卑鄙无耻
bbwh 滨外
bbwj 北部湾
bbwq 碧波万顷
bbww 濒危
bbwwo 病病歪歪
bbwx 白璧无瑕
bbwxu 白璧微瑕
bbwy 步步为营
bbx 百宝箱
bbxc 傧相
bbxd 拜把兄弟
bbxf 彬县
bbxh 被剥削
bbxi 宾夕
bbxr 兵不血刃
bbxro 被保险人
bbxy 本报讯
bbxz 被剥削
bby 不必因
bbyb 不必因
bbyh 被边缘化
bbyi 殡仪
bbyk 不必要
bbyl 彬彬有礼
bbyp 北冰洋
bbyu 宾语
bbyv 宾语
bbyy 病病殃殃
bbyya 巴布亚新几内亚
bbyz 兵不厌诈
bbzb 不变资本
bbzd 不败之地
bbzi 半辈子
bbziu 拜把子
bbzj 八拜之交
bbzjo 辨别真假
bbzm 编笆造模
