# 二简
zg 这个
zx 这些
zz 这种
zq 之前
zf 支付
zd 知道
zb 准备
# 偏旁部首
ooa 乛
ooa 
ooa 乚
oob 纟
oob 糸
oob 巛
oob 彑
ood 氵
ood リ
ooe 彳
ooe 彡
ooe 一
ooe 畐
oof 
oof 
oof 肙
oog 冂
oog 囗
oog 罒
ooh 
ooh 
ooi 丨
ooi 亅
ooi 丷
ooi 屰
ooj 耂
ooj 覀
ooj 
ook 
ook 丆
ook 廾
ool 扌
ool 
oom 匚
oom 旡
oom 疌
oon 朩
ooo 丶
ooo ㄟ
ooo 宀
ooo 忄
ooo 灬
oop 冖
oop 讠
oop 辶
oop 礻
oop 衤
oop 冘
ooq 
ooq 
ooq 攵
ooq 牜
oor 㐅
oor 爫
oos 亻
oos 〢
oos 刂
oot 
oot 勹
oot 饣
oot 犭
oot 夂
oot 厃
oot 夅
oou 丿
oou 艹
oou 
oov 厶
oov 廴
oov 钅
oov 癶
oox 阝
oox 卩
oox 丩
oox 凵
oox 疋
ooy 亠
ooy 冫
ooy 丬
ooy 疒
ooy 啇
ooz コ
ooz ユ
ooz 彐
ooz 卂
ooz 夬
ooz 叚
