name=星空两笔
key=abcdefghijklmnopqrstuvwxyz;.',
pull=;o
user=xklb.usr
wildcard=~
code_e2=p11+p12+p21+p22+p1-1+p2-1
code_e3=p11+p21+p31+p32+p1-1+p2-1
code_a4=p11+p21+p31+n11+p1-1+p2-1
code_hint=1
[DATA]
a 那
b 不
ba 闭
baeiuu 闭
bb 标
bba 嬖
bbe 壁
bbee 棒
bbeea 梆
bbeeo 璧
bbei 柄
bbeio 檗
bbeiu 彬
bbeu 杯
bbeua 弼
bbi 臂
bbii 剥
bbo 榜
bboa 避
bboe 辟
bboeo 襞
bboo 槟
bbu 板
bbua 杓
bbue 擘
bbui 柏
bbuo 鐾
bbauee 嬖
bbeeai 梆
bbeeee 棒
bbeeiu 标
bbeeoo 璧
bbeiee 壁
bbeioo 柄
bbeioo 檗
bbeiuu 彬
bbeuae 弼
bbeuoo 杯
bbiaee 臂
bbiiii 剥
bboaoo 避
bboeei 辟
bboeoe 榜
bboeoo 襞
bbooui 槟
bbuaoo 杓
bbueii 擘
bbuiee 柏
bbuoee 鐾
bbuuao 板
bc 编
bce 脖
bcee 绑
bcei 膊
bceie 膘
bco 绊
bcoo 缤
bcoou 膑
bcu 胞
bcua 绷
bcui 缏
bcuo 驳
bceeai 绑
bceiai 脖
bceiee 膘
bceiei 膊
bcoaia 编
bcooui 缤
bcooui 膑
bcouii 绊
bcuaae 胞
bcuaua 绷
bcuiei 缏
bcuouo 驳
bd 被
bda 诐
bdai 邲
bde 裱
bdi 补
bdia 扁
bdie 褙
bdo 必
bdoa 遍
bdoai 褊
bdoe 谤
bdu 裨
bdui 褓
bdaiii 邲
bdauao 被
bdauao 诐
bdeeua 裱
bdiaii 扁
bdieia 褙
bdiooo 补
bdoaia 褊
bdoaoo 遍
bdoeoe 谤
bdoooo 必
bduiei 裨
bduiia 褓
be 逼
bea 岜
bee 罢
beee 蚌
beeu 畀
beeue 豳
bei 赑
beo 蝙
beoo 髌
beu 贝
beua 崩
beue 败
beui 髀
beuo 贬
beaiaa 岜
beeeii 蚌
beeiao 罢
beeueu 豳
beeuii 畀
beiaia 赑
beoaia 蝙
beoaoo 逼
beooui 髌
beuaua 崩
beueoo 败
beuiei 髀
beuooo 贝
beuooo 贬
bf 变
bfa 部
bfaa 辫
bfai 疤
bfe 病
bfea 庇
bfeao 瓿
bfee 斌
bfeei 禀
bfeeo 癍
bfei 瘭
bfi 冰
bfia 痹
bfo 辩
bfoo 卞
bfou 辨
bfu 瓣
bfue 亳
bfui 褒
bfuie 庳
bfuiu 瘪
bfuu 瘢
bfaaoe 辫
bfaiaa 疤
bfaiii 部
bfaooo 变
bfeaoo 瓿
bfeaua 庇
bfeeie 斌
bfeeoe 癍
bfeiee 瘭
bfeioo 病
bfeeiu 禀
bfiaeu 痹
bfiaoo 冰
bfoaoe 辩
bfoooo 卞
bfouoe 辨
bfueaa 亳
bfuiei 庳
bfuiua 褒
bfuiuo 瘪
bfuuoe 瓣
bfuuua 瘢
bg 并
bga 粑
bge 弊
bgei 炳
bgi 半
bgia 爆
bgiai 蹩
bgo 迸
bgoa 憋
bgoai 煸
bgoe 焙
bgu 敝
bgua 鳖
bgaiaa 粑
bgeeii 并
bgeioo 炳
bgeuii 弊
bgiaei 爆
bgiaie 蹩
bgiiii 半
bgoaia 煸
bgoaoo 迸
bgoaoo 憋
bgoeia 焙
bguaee 鳖
bgueoo 敝
bh 便
bhe 白
bhei 卑
bheie 堡
bheu 佰
bheua 魃
bhi 保
bhia 鼻
bhiai 帛
bhii 币
bho 倍
bhoe 傍
bhoo 傧
bhou 伴
bhouu 煲
bhu 兵
bhua 鹎
bhui 伯
bhuie 俾
bhuu 版
bheeee 白
bheiee 堡
bheiii 卑
bheioo 便
bheuao 魃
bheuia 佰
bhiaei 保
bhiaeu 鼻
bhiaii 帛
bhiiii 币
bhoeia 倍
bhoeoe 傍
bhooui 傧
bhouii 伴
bhouuo 煲
bhuaee 鹎
bhuiee 伯
bhuiei 俾
bhuooo 兵
bhuuao 版
bi 比
bie 毕
biei 暴
bieio 晡
bieu 毙
bii 曝
bio 匾
bioa 毖
bieiii 毕
bieiio 暴
bieioo 晡
bieuua 毙
biiaei 曝
bioaia 匾
bioaoo 毖
biuaaa 比
bj 吧
bja 爸
bjai 鄙
bjaii 邠
bjau 跛
bje 颁
bjea 哔
bjeae 跸
bjeau 吡
bjei 哺
bjeie 坌
bjeu 跋
bji 别
bjia 呗
bjiau 蹦
bjiaua 嘣
bjio 卟
bjo 八
bjoe 踣
bjoo 啵
bju 豹
bjua 趵
bjuo 叭
bjaiaa 爸
bjaiaa 吧
bjaiii 鄙
bjaiii 邠
bjauao 跛
bjeaei 哔
bjeaei 跸
bjeaua 吡
bjeiee 坌
bjeioo 哺
bjeuao 跋
bjeuia 颁
bjiaua 蹦
bjiauo 呗
bjiiii 别
bjiooo 卟
bjoeia 踣
bjooau 啵
bjoooo 八
bjuaoo 趵
bjuaoo 豹
bjuooo 叭
bk 包
bka 匕
bkai 鲃
bke 饽
bkea 狴
bkei 鳔
bkeia 鲾
bkeu 鲅
bki 备
bkia 狈
bkii 刨
bko 饼
bkoa 惫
bkoai 鳊
bkou 飚
bku 饱
bkua 鲍
bkuaa 飑
bkuae 鸨
bkui 鲌
bkaaaa 匕
bkaeaa 包
bkaiaa 鲃
bkeaei 狴
bkeiae 鲾
bkeiai 饽
bkeiee 鳔
bkeuao 鲅
bkiaee 备
bkiauo 狈
bkiiii 刨
bkoaia 鳊
bkoaoo 惫
bkouee 饼
bkouou 飚
bkuaae 饱
bkuaae 鲍
bkuaae 飑
bkuaee 鸨
bkuiee 鲌
bl 笔
bla 笆
blau 笾
ble 笨
blea 秕
bleae 筚
blei 簸
bleia 馞
bleu 馛
bli 箅
blo 簿
bloa 馝
bloo 秉
bloou 箔
blu 稗
blue 幷
blui 篦
blaiaa 笆
blauoa 笾
bleaei 筚
bleaua 秕
bleiai 馞
bleiau 簸
bleiee 笨
bleuao 馛
bliaeu 箅
bloaoo 馝
blooei 簿
bloooo 秉
blooui 箔
blueaa 笔
blueii 幷
bluiea 篦
bluiei 稗
bm 般
bma 彼
bme 舭
bmu 舶
bmuu 舨
bmauao 彼
bmeaua 舭
bmuaao 般
bmuiee 舶
bmuuao 舨
bn 边
bne 婊
bnea 妣
bneao 甏
bni 坝
bno 办
bnu 婢
bnua 堋
bnui 埠
bnuu 坂
bneaoo 甏
bneaua 妣
bneeua 婊
bniauo 坝
bnoaoo 边
bnoooo 办
bnuaua 堋
bnuiei 婢
bnuiei 埠
bnuuao 坂
bo 表
boa 邦
boau 玻
boe 碧
boi 帮
boia 邫
boo 班
booe 斑
bou 玢
boaiii 邦
boauao 玻
boeuia 碧
boiaai 邫
boiaii 帮
booeee 斑
boouee 班
bouaoo 表
bouoau 玢
bp 百
bpe 奔
bpei 礴
bpi 布
bpia 泵
bpo 磅
bpoa 碥
bpoe 碚
bpoo 殡
bpu 碑
bpua 甭
bpuau 飙
bpuo 砭
bpuoi 磻
bpeieu 奔
bpeioo 礴
bpiaee 百
bpiaii 布
bpiaoo 泵
bpoaia 碥
bpoeia 碚
bpoeoe 磅
bpoooo 不
bpooui 殡
bpuaii 甭
bpuauo 飙
bpuiei 碑
bpuoia 磻
bpuooo 砭
br 步
bra 钯
brai 邶
bre 辈
brei 镖
breie 钵
breiei 镈
breu 钹
breue 锛
breui 钸
breuo 钚
bri 背
bria 钡
briau 镚
bro 悲
broa 铋
broe 镑
broeo 镳
broo 镔
bru 北
brua 龅
bruaa 铇
brui 铂
bruu 彪
bruua 钣
braiaa 钯
braiii 邶
breaii 辈
breiee 镖
breiee 钵
breuao 钹
breuei 锛
breuia 钸
breuoo 钚
briaee 背
briaua 镚
briauo 钡
briuuu 步
broaoo 悲
broaoo 铋
broeoe 镑
broeoo 镳
brooui 镔
bruaaa 北
bruaae 龅
bruaae 铇
bruiee 铂
bruuao 钣
bruuuu 彪
bs 宝
bse 怖
bsei 悖
bso 忭
bsu 宾
bsue 愎
bsuo 窆
bseeoo 宝
bseiai 悖
bseuia 怖
bsoeoo 忭
bsueia 愎
bsuiuo 宾
bsuooo 窆
bt 波
bte 渤
bteo 灞
bti 瀑
btie 濒
bto 滨
btoe 汴
btu 泊
btue 滗
btui 浜
btuii 濞
btauao 波
bteiau 渤
bteoei 灞
btiaei 瀑
btieeu 濒
btoeoo 汴
btooui 滨
btueue 滗
btuiee 泊
btuiia 濞
btuiuo 浜
bu 把
bua 报
buae 摒
buau 拨
bue 捕
buee 拜
buei 霸
bueie 搏
bueu 拔
bui 摆
buia 捌
buo 拌
buoo 摈
buu 抱
buua 雹
buui 捭
buuo 播
buuoa 扮
buuoo 扒
buuou 掰
buuu 搬
buuua 扳
buaeou 摒
buaiaa 把
buaiao 报
buauao 拨
bueeii 拜
bueiei 搏
bueioo 捕
bueiua 霸
bueuao 拔
buiaei 摆
buiaii 捌
buooui 摈
buouii 拌
buuaae 雹
buuaae 抱
buuiei 捭
buuoau 扮
buuoia 播
buuooo 扒
buuoue 掰
buuuao 扳
buuuua 搬
bw 薄
bwa 芭
bwae 薜
bwe 苯
bwea 荜
bwei 荸
bweie 菝
bweu 茇
bwo 卜
bwoe 苄
bwoeo 蒡
bwoo 菠
bwou 蔽
bwu 蓓
bwua 苞
bwui 葆
bwuie 蓖
bwuiei 萆
bwaeoe 薜
bwaiaa 芭
bweaei 荜
bweiai 荸
bweiee 苯
bweieu 菝
bweuao 茇
bwoeoe 蒡
bwoeoo 苄
bwooau 菠
bwooei 薄
bwoooo 卜
bwouue 蔽
bwuaae 苞
bwuiea 蓖
bwuiia 葆
bwuioe 蓓
bxa 弁
bxe 畚
bxeuia 畚
bxeuii 弁
by 本
bya 靶
byai 孛
byaii 邴
byau 勃
bye 博
byei 鞴
byi 贲
byii 醭
byo 丙
byoa 逋
byoo 鬓
byu 鞭
byua 鹁
byuu 髟
byaiaa 靶
byaiee 孛
byaiii 邴
byauuu 勃
byeeee 本
byeiei 博
byeiui 鞴
byiauo 贲
byiiou 醭
byoaoo 逋
byoooo 丙
byooui 鬓
byuaee 鹁
byuiei 鞭
byuuuu 髟
bz 巴
bza 陂
bze 陛
bzu 孢
bzuu 阪
bzaaaa 巴
bzauao 陂
bzeaei 陛
bzuaae 孢
bzuuao 阪
bbuoo 朳
bbuooo 朳
beai 蚆
beaiaa 蚆
bgai 羓
bgaiaa 羓
bneu 妭
bneuao 妭
bceu 胈
bceuao 胈
bjue 攽
bjueoo 攽
bfuo 𨭉
bfuoei 𨭉
biu 昄
biuuao 昄
beuiu 蝂
beuiuu 蝂
btou 湴
btouei 湴
byou 靽
byouii 靽
bjee 𠳐
bjeeai 𠳐
boee 玤
boeeii 玤
bboei 棓
bboeia 棓
bnoe 塝
bnoeoe 塝
boie 琲
boieee 琲
bgeie 糒
bgeieu 糒
bheue 倴
bheuei 倴
blueu 犇
blueue 犇
boeee 琫
boeeee 琫
bboou 屄
bboouo 屄
btea 沘
bteaua 沘
bieie 坒
bieiee 坒
bhoa 佖
bhoaoo 佖
bwoa 苾
bwoaoo 苾
booa 珌
booaoo 珌
bpeu 皕
bpeuia 皕
byaua 鞁
byauao 鞁
bpuaua 觱
bwoai 萹
bwoaia 萹
buoe 抃
buoeoo 抃
bxai 𨚕
bxaiii 𨚕
bia 昪
biaoeu 昪
bca 骉
bcaaaa 骉
bceeu 脿
bceeua 脿
bueiee 摽
bweiee 蔈
beei 幖
beeiee 幖
bgeiee 熛
bhoeo 儦
bhoeoo 儦
bwoeoo 藨
btoeo 瀌
btoeoo 瀌
bhee 俵
bheeua 俵
bjoa 咇
bjoaoo 咇
bbou 栟
bbouee 栟
bieioo 昺
beeio 蛃
beeioo 蛃
bpeie 砵
bpeiee 砵
bdau 袯
bdauao 袯
beuoi 嶓
beuoia 嶓
btei 浡
bteiai 浡
bbeia 桲
bbeiai 桲
byuo 僰
byuooo 僰
bbeioo 欂
bnie 埗
bnieiu 埗
bwoea 蔀
bwoeai 蔀
bdoeu 祊
bdoeuu 祊
bnuo 坋
bnuoau 坋
bbuaa 枹
bbuaae 枹
bbia 岊
bbiaii 岊
buoeo 搒
buoeoe 搒
bkaa 勹
bnei 埔
bboue 屏
bnuuu 彭
bbuie 椑
btoa 泌
bguaa 炮
beuie 睥
bloao 秘
bcea 纰
boai 耙
bcoe 膀
bwuo 蕃
bceiee 骠
bhuia 魄
bkaaaa 勹
bneioo 埔
bbouee 屏
bnuuuu 彭
bbuiei 椑
btoaoo 泌
bguaae 炮
beuiei 睥
bloaoo 秘
bceaua 纰
boaiaa 耙
bcoeoe 膀
bwuoia 蕃
bhuiao 魄
c 出
ca 闯
cai 阊
cao 阐
caaaee 闯
caiaia 阊
caouia 阐
cb 层
cba 楚
cbaa 椽
cbai 弛
cbaia 孱
cbaii 郴
cbao 橙
cbaoe 柽
cbaoo 杈
cbau 弨
cbe 村
cbee 椿
cbeee 楱
cbei 材
cbeie 槽
cbeii 楂
cbeiia 楮
cbeo 樗
cbeu 橱
cbi 查
cbo 尺
cboe 榇
cboei 榱
cboa 迟
cboo 檫
cbou 槎
cbouo 羼
cbu 椎
cbua 柢
cbue 杵
cbuee 棰
cbueo 枨
cbui 槌
cbuo 枞
cbaaeu 椽
cbaiaa 弛
cbaiai 孱
cbaiii 郴
cbaioo 楚
cbaoei 柽
cbaoei 橙
cbaooo 杈
cbauia 弨
cbeeao 层
cbeeee 楱
cbeeia 椿
cbeiia 槽
cbeiia 楂
cbeioo 村
cbeiuu 材
cbeoee 樗
cbeuei 橱
cbiaee 查
cboaoo 迟
cboeei 榇
cboeia 榱
cboooo 尺
cbooua 檫
cbouei 槎
cbouou 羼
cbuaoo 柢
cbueee 棰
cbueii 杵
cbueoo 枨
cbuioa 槌
cbuioe 椎
cbuouo 枞
cc 纯
cca 驰
ccae 骣
ccai 绌
ccao 骖
ccau 肠
cce 腠
ccei 綝
ccea 肫
cci 巢
ccia 骋
ccie 绰
cco 缠
ccoe 膪
ccou 塍
ccu 脆
ccua 绸
ccuai 朐
ccui 骢
ccuo 脞
ccuu 肜
ccaeai 骣
ccaiaa 驰
ccaiii 绌
ccaoeu 骖
ccauuu 肠
cceaaa 纯
cceaaa 肫
cceeee 腠
cceiei 綝
cciaea 骋
cciaoo 巢
ccieia 绰
ccoeia 缠
ccoeia 膪
ccouei 塍
ccuaaa 脆
ccuaei 绸
ccuaia 朐
ccuioa 骢
ccuoei 脞
ccuuuu 肜
cd 词
cda 初
cdae 祠
cdao 衩
cde 诚
cdei 衬
cdeii 褚
cdeiu 谌
cdi 昶
cdia 裎
cdo 禅
cdoo 诧
cdu 谗
cdua 谄
cduo 谶
cduu 褫
cdaeia 词
