name=星空一笔
key=abcdefghijklmnopqrstuvwxyz;.',
pull=;o
user=xkyb.usr
wildcard=`
code_e2=p11+p12+p21+p22+p13+p23
code_e3=p11+p21+p31+p32+p13+p23+p33
code_a4=p11+p21+p31+n11+p13+p23+p33+n13
code_hint=1
[DATA]
a 那
b 不
ba 把
baa 巴
baae 妭
bae 拔
baee 坝
baeei 捌
baeeu 扒
baei 靶
baeia 芭
baeie 茇
baeiee 菝
baeo 霸
baeoa 耙
baeou 朳
bai 吧
baie 罢
baiee 跋
baieu 叭
baii 岜
baio 蚆
bao 疤
baoe 灞
baoo 粑
baou 羓
bau 八
baua 钯
baue 鲅
bauea 鲃
bauee 胈
baueu 鲌
bauo 爸
bauoa 笆
bauoe 魃
bb 滨
bba 缤
bbe 彬
bbee 摈
bbeeu 玢
bbeo 殡
bbeoo 槟
bbeu 鬓
bbi 豳
bbie 髌
bbo 宾
bboe 濒
bboo 斌
bbu 镔
bbue 膑
bbui 傧
bbuu 邠
bd 表
bda 婊
bdae 骠
bdaea 骉
bde 标
bdee 摽
bdei 蔈
bdeio 藨
bdeo 飙
bdeou 杓
bdeouu 髟
bdi 彪
bdii 幖
bdo 裱
bdoe 瘭
bdoeo 瀌
bdoo 熛
bdu 膘
bdua 镖
bduao 镳
bdue 鳔
bduee 脿
bdui 俵
bduio 儦
bduo 飚
bduou 飑
bf 边
bfa 编
bfae 缏
bfai 𨚕
bfao 弁
bfe 鞭
bfea 匾
bfee 砭
bfeeo 碥
bfeeoi 抃
bfei 苄
bfeio 萹
bfi 贬
bfie 昪
bfio 蝙
bfo 变
bfoe 卞
bfoeo 汴
bfoi 遍
bfoio 忭
bfoo 煸
bfooo 褊
bfoou 窆
bfou 辨
bfoua 辫
bfoui 扁
bfouo 辩
bfu 便
bfue 鳊
bfuo 笾
bg 并
bga 屏
bge 柄
bgee 摒
bgei 丙
bgeo 槟
bgeoa 邴
bgi 昺
bgio 蛃
bgo 病
bgoe 冰
bgoei 禀
bgoo 炳
bgu 兵
bgua 饼
bgue 秉
bh 白
bhe 百
bhee 摆
bheeu 捭
bheo 柏
bhi 败
bhie 呗
bhu 拜
bhui 佰
bhuiu 伯
bhuo 稗
bhuu 掰
bi 比
bia 避
biaa 弼
biae 婢
biaee 妣
biaeeu 纰
biaeo 辟
biai 臂
biaia 嬖
biaie 壁
biaiee 陛
biaieo 璧
biaio 襞
biau 屄
bie 毕
biea 毙
bieae 坒
bieao 毖
biee 逼
bieee 碧
bieeei 皕
bieeo 珌
biei 蔽
bieia 薜
bieie 荜
bieiea 荸
bieii 贲
bieio 苾
bieiu 蓖
bieiue 萆
bieo 觱
bii 鄙
biie 睥
biiee 哔
biieee 跸
biieei 畀
biieeu 吡
biieo 咇
biieu 髀
biio 赑
bio 必
bioa 闭
bioaa 诐
bioe 痹
bioee 沘
bioeo 泌
bioeu 濞
bioeuu 滗
bioi 愎
bioo 弊
biooa 邲
bioou 敝
biooue 裨
biou 庇
biouu 庳
biu 笔
biua 匕
biuao 铋
biue 鼻
biueei 鲾
biueo 馝
biui 币
biuia 彼
biuio 佖
biuiu 俾
biuo 秕
biuoe 筚
biuoeu 舭
biuoi 箅
biuoo 秘
biuou 篦
biuu 狴
bj 办
bja 绊
bjai 阪
bje 班
bjee 搬
bjeeo 拌
bjeeoe 斑
bjeeu 扳
bjeeua 坂
bjeeua 扮
bjei 靽
bjeo 板
bji 昄
bjio 蝂
bjo 半
bjoe 瘢
bjoee 癍
bjoeo 湴
bjoo 𨭉
bjou 瓣
bju 般
bjua 版
bjuau 钣
bjui 伴
bjuo 舨
bjuu 颁
bjuuu 攽
bk 报
bka 剥
bkae 孢
bke 薄
bkee 抱
bkei 葆
bkeiu 苞
bkeo 雹
bkeou 枹
bki 暴
bkie 曝
bkieu 趵
bkii 龅
bko 爆
bkoa 宝
bkoe 褒
bkoei 瀑
bkoo 褓
bkoou 炮
bku 包
bkua 饱
bkuaa 勹
bkuai 刨
bkue 胞
bkueu 鲍
bkui 保
bkuiu 鸨
bkuo 煲
bkuoe 堡
bkuu 豹
bm 蹦
bma 绷
bme 甭
bmee 泵
bmeee 琫
bmeeu 堋
bmeu 甏
bmi 崩
bmie 嘣
bmio 蚌
bmo 迸
bmoo 祊
bmu 镚
bn 本
bna 畚
bne 奔
bnee 坋
bnei 苯
bneii 贲
bneo 栟
bnu 笨
bnua 锛
bnui 犇
bnuie 倴
bnuu 坌
bo 拨
boa 剥
boae 驳
boai 擘
boaie 檗
boe 薄
boee 播
boeea 勃
boeeao 玻
boeee 搏
boeeee 砵
boeeeo 礴
boeeu 鹁
boeeui 磻
boei 博
boeio 菠
boeiu 蕃
boeo 柏
boeoe 桲
boeoeo 欂
boeou 僰
boi 卜
boie 跛
boiee 啵
boieo 踣
boii 嶓
boo 波
booa 亳
booe 泊
booee 渤
booeea 浡
booo 袯
bou 伯
boua 钵
bouae 钹
bouaea 饽
bouaee 镈
bouau 铂
boue 脖
bouee 膊
boueea 馞
bouei 帛
boueu 魄
boueue 鲌
bouo 簸
bouoo 箔
bouooe 簿
bouou 舶
bp 帮
bpa 绑
bpe 棒
bpee 磅
bpeee 玤
bpeeo 塝
bpeeoo 搒
bpeeu 彭
bpei 蒡
bpeo 榜
bpeoe 梆
bpeoo 棓
bpeu 邦
bpi 蚌
bpie 𠳐
bpo 谤
bpoe 浜
bpu 傍
bpua 镑
bpue 膀
bu 部
bue 布
buee 捕
bueee 埔
bueei 醭
bueeii 埗
bueeu 埠
buei 蔀
bueo 逋
bui 步
buie 哺
buiee 晡
buiei 卟
buio 卜
buo 补
buoe 瓿
buoi 怖
buu 簿
buua 钚
