aaz AA制
atmj ATM机
avny AV女优
bab 把把
baba 爸爸
babae 把把
babao 粑粑
babd 靶标
babf 八遍
babg 把柄
babgi 罢兵
babh 八百
babi 芭比
babie 霸笔
babii 罢笔
babiu 爸比
babk 八宝
babw 八倍
bac 八次
bace 八册
baci 把持
baciu 八次
back 拔草
bacm 八成
bacmu 八层
bacp 靶场
bacu 拔出
bacue 拔除
bacui 罢黜
bad 拔刀
bada 吧嗒
badai 叭嗒
badd 拔掉
bade 巴德
badf 八点
badfe 靶点
badk 霸道
badke 拔刀
badr 巴豆
badt 八段
badu 八度
bady 八吨
badya 巴顿
bafm 把风
bafn 八分
bafp 八方
bafu 八幅
bag 拔光
baga 八嘎
bagc 扒光
bagce 拔光
bage 八个
bageu 八哥
bagk 拔高
bagl 罢工
bago 八国
bags 八卦
bagt 把关
bagte 拔罐
bagu 八股
bagv 吧规
bah 拔河
bahe 八核
bahea 巴赫
bahee 拔河
bahn 疤痕
bahp 八行
bahu 跋扈
baj 八级
bajb 巴金
bajd 芭蕉
bajdu 八角
bajf 拔剑
bajfe 拔尖
baji 吧唧
bajia 巴基
bajiu 八级
bajq 把酒
bajqu 八九
bajs 八家
bajx 巴结
bajxu 八戒
bak 罢课
bake 巴克
bakei 罢课
bakg 八块
bakh 扒开
bakk 罢考
bakl 把控
bal 巴厘
bala 扒拉
balai 罢啦
balb 巴林
balc 拔凉
bale 罢了
balg 霸凌
balgu 八零
bali 巴黎
balia 巴厘
balq 八六
balr 八楼
balu 八路
balw 芭蕾
bam 霸面
bama 爸妈
bamd 八秒
bamf 罢免
bamfe 霸面
bamh 把脉
bami 八米
bamk 拔毛
bamn 把门
bamw 把妹
banf 八年
bani 把你
banv 吧女
bapf 八篇
baph 八排
bapi 扒皮
bapo 八婆
bapu 扒谱
baq 八强
baqc 八强
baqce 把枪
baqd 巴乔
baqdo 灞桥
baqf 八千
baqi 霸气
baqie 拔起
baqiu 八旗
baqt 霸权
baqu 拔取
baqv 拔取
barn 巴人
bas 巴山
basa 巴萨
base 跋涉
bash 罢赛
basi 八十
basia 巴士
basiau 巴适
basie 把式
basiee 把势
basii 罢市
basj 把伞
basja 巴山
basn 巴神
basr 把手
basre 把守
basri 罢手
basu 巴蜀
basv 八岁
bat 靶台
bata 把他
batae 把她
bataeo 把它
batd 八条
bate 巴特
batf 八天
bath 吧台
bathe 靶台
batk 八套
batr 把头
batv 拔腿
bavu 把儿
baw 把握
bawj 八万
bawje 把玩
bawo 把我
bawoe 把握
bawp 霸王
bawpa 巴望
bawu 吧务
baww 八位
bawwe 把位
bax 巴西
baxb 靶心
baxc 靶向
baxf 八仙
baxi 把戏
baxia 巴西
baxm 罢休
baxq 罢休
baxs 拔下
baxse 扒下
baxy 八旬
baya 拔牙
bayb 八音
baye 霸业
bayh 八月
bayi 八一
bayr 吧友
bayz 八月
baz 八折
baze 八折
bazee 霸者
bazi 把子
bazie 靶子
bazii 罢职
baziu 八字
bazj 霸占
bazje 把盏
bazl 八种
bazla 巴中
bazp 巴掌
bazu 霸主
bazui 吧主
bbb 不不不
bbbb 彬彬
bbbd 不包不刀
bbbi 并不比
bbbk 本宝宝
bbbke 不卑不亢
bbbkea 斑驳不堪
bbbku 包不包括
bbbs 并不表示
bbbx 别别别
bbby 褒贬不一
bbc 办不成
bbcm 滨城
bbcy 百步穿杨
bbcz 并不存在
bbd 巴不得
bbda 棒棒哒
bbdb 并不代表
bbdd 斑斑点点
bbde 不变的
bbdj 并不多见
bbdk 办不到
bbdn 百般刁难
bbds 并不都是
bbdsa 巴巴多斯
bbdse 不必多说
bbdt 包办代替
bbdw bilibili弹幕网
bbdx 不必担心
bbdxe 百变大咖秀
bbdz 不必当真
bbf 半部分
bbfa 鬓发
bbff 本本分分
bbfn 缤纷
bbg 步步高
bbge 宾格
bbgm 并不感冒
bbgo 宾果
bbgs 步步高升
bbgt 宾馆
bbh 并不会
bbhe 白百何
bbhh 滨海
bbhhe 百般呵护
bbhho 濒海
bbhk 版本号
bbhs 不饱和脂肪酸
bbhy 包办婚姻
bbj 被绑架
bbjb 步步紧逼
bbjc 滨江
bbjd 鬓角
bbjdo 并不觉得
bbjj 白白净净
bbjja 边边角角
bbjje 百般纠结
bbjjo 并不仅仅
bbjl 变本加厉
bbjs 比比皆是
bbjso 并不仅仅是
bbjsoa 半壁江山
bbjz 本报记者
bbjze 标本兼治
bbk 不包括
bbke 宾客
bbkei 背包客
bbkq 不必客气
bbks 必不可少
bbl 不必了
bblb 濒临
bblc 冰冰凉
bbld 比不了
bblf 白白浪费
bblg 宝贝老公
bbli 宾利
bbliu 八百里
bblj 并不了解
bblk 奔波劳苦
bbll 奔波劳碌
bblle 斑驳陆离
bblp 槟榔
bblpo 宝贝老婆
bblx 并不理想
bbly 巴比伦
bblye 毕不了业
bbm 帮帮忙
bbmf biangbiang面
bbmm 爸爸妈妈
bbmn 本部门
bbmq 不必勉强
bbn 并不能
bbng 并不能够
bbnj 并不难
bbnv 宝贝女儿
bbnw 败不馁
bbp 抱不平
bbpm 宾朋
bbpp 白白胖胖
bbps 笔吧评测室
bbq 保不齐
bbqg 彪炳千古
bbqi 摈弃
bbqq 北半球
bbqqi 悲悲戚戚
bbqs 并不全是
bbqv 爸爸去哪儿
bbqz 百般劝阻
bbr 并不如
bbrd 兵败如山倒
bbrs 并不认为是
bbrw 并不认为
bbry 并不容易
bbs 并不是
bbsb 百八十遍
bbsc 彪炳史册
