# 提取自天珩所作的字海两分输入法V4.0，勘误若干处，并适配键道全部双拼组合 @thXnder 20200817
# 1正2正
uhr 一
uhryk 丁
uhryk 丂
uhryk 七
uejhr 丄
uhrej 丅
uhrpd 丆
uhryk 万
uhreb 丈
uxjhr 三
ubjhr 上
uhrbj 下
uhrej 丌
uhrxc 不
uhrhr 与
uhryk 丏
uxsyk 丐
uyktj 丑
urnhr 丒
uxjdm 专
uyhhr 且
ubjhr 丕
unmyk 世
usshr 丗
ujpgy 丘
uhrnw 丙
uejhr 业
ucyhr 丛
uhrxc 东
uskhr 丝
ulchr 丞
uwpsk 丟
ubwhr 丠
uhref 両
updql 丢
uqkhr 丣
uhrcy 两
uyspd 严
ubsys 並
utjyk 丧
uej 丨
uykej 丩
urnej 个
ubsej 丫
upf 丬
ukdej 中
uykek 丮
uefej 丯
usfej 丰
uykhr 丱
ullej 串
uwtpd 丳
uejkd 临
uyegf 丵
udm 丶
ubs 丷
ujqdm 丸
ukxxj 丹
ulkdm 为
udmwp 主
ujgdm 丼
uhrdm 丽
uxgek 举
upd 丿
uyk 乀
uyk 乁
upddm 乂
uykpd 乃
uykdm 乄
udzeb 久
uykrn 乆
updqk 乇
updsk 么
upddm 义
updpd 乊
udmyk 之
updhr 乌
urnxj 乍
updyk 乎
updfk 乏
updxc 乐
upddm 乑
uqqpd 乒
uqqdm 乓
uyzej 乔
ujpjb 乕
uqmbw 乖
uhecz 乗
uhebw 乘
uyk 乙
uyk 乚
uyk 乛
uykyk 乜
uykpd 九
urnyk 乞
uykyk 也
uykeb 习
uykpd 乡
uefyk 乢
uyzyk 乣
uxsyk 乤
updyk 乥
uykdm 书
uddyk 乧
uthyk 乨
uqfyk 乩
uyktm 乪
ujsyk 乫
ujlyk 乬
uekyk 乭
umzyk 乮
uhjyk 乯
uyktd 买
ueeyk 乱
uckyk 乲
ufjyk 乳
ufeyk 乴
uxbyk 乵
ufjyk 乶
uesyk 乷
uyemj 乸
uflyk 乹
uslyk 乺
uylyk 乻
uqjyk 乼
ufeyk 乽
uflqk 乾
ufzyk 乿
ugbrk 亀
uekqk 亁
ufzyk 亂
ulbyk 亃
uykyk 亄
uyk 亅
uykyk 了
udzyk 亇
uykyk 予
udzyk 争
uhrjb 亊
uhrjb 事
uhrhr 二
uhrdg 亍
uxjyk 于
uhrkz 亏
uxjyk 亐
uxjsk 云
uhrjk 互
uhrqk 亓
ugyyk 五
uczhr 井
uxjxj 亖
uefxj 亗
uhrdf 亘
uxjdm 亙
uhrye 亚
uckxj 些
ugyfy 亜
uskxj 亝
uxjej 亞
ulchr 亟
uxj 亠
uxjyk 亡
uxjjk 亢
udmqk 亣
ulqws 交
uxjrn 亥
uxjbs 亦
ulkpd 产
uxjlc 亨
uxjtm 亩
uykyk 亪
uhrhr 享
uxjxc 京
uxjdg 亭
uxjjk 亮
uxjrk 亯
uxjxc 亰
uxjdf 亱
ulkmj 亲
uxjtl 亳
uxjjq 亴
uykfk 亵
uxjdf 亶
ujfjm 亷
uxxdf 亸
uxjqd 亹
updeb 人
urn 亻
urnhr 亼
urndm 亽
urnyk 亾
urnyk 亿
urnek 什
urnxj 仁
urnlk 仂
urndg 仃
ujprn 仄
urnyd 仅
urnbj 仆
urnjq 仇
urnbs 仈
urnjk 仉
urnyk 今
