bagg 闭关
bahh 闭合
bahhu 闭会
baho 闭环
bajc 闭经
bajg 闭卷
bakj 闭口
balj 闭路
bama 闭门
bame 闭目
bamw 闭幕
basf 闭市
basr 闭上
basru 闭锁
bass 闭塞
baye 闭眼
bazj 闭嘴
bbb 并不比
bbbb 棒棒
bbbbo 标榜
bbbboe 板壁
bbbc 臂膀
bbbce 臂膊
bbbf 棒冰
bbbh 标兵
bbbho 标版
bbbi 并不比
bbbk 不卑不亢
bbbl 半表半里
bbbp 壁布
bbbu 板报
bbbue 壁报
bbby 标本
bbbyo 褒贬不一
bbbz 部颁标准
bbc 办不成
bbcb 棒槌
bbcbe 壁橱
bbcbo 标尺
bbcbou 板材
bbcf 板床
bbci 板车
bbcl 标称
bbcle 白不呲咧
bbcn 槟城
bbcp 办不成
bbcu 板擦
bbcy 板寸
bbcye 百步穿杨
bbcz 标出
bbczi 屏除
bbd 并不多
bbdd 斑斑点点
bbde 白扁豆
bbdf 标底
bbdg 榜单
bbdge 壁灯
bbdh 标的
bbdha 北部的
bbdho 标段
bbdhoi 颁布的
bbdhoo 薄薄的
bbdi 办不到
bbdk 并不多
bbdl 避短
bbdm 巴不得
bbdn 百般刁难
bbdp 剥夺
bbdq 北部地区
bbdr 标点
bbds 标定
bbdsa 巴巴多斯
bbdt 包办代替
bbdu 棒打
bbdui 剥掉
bbdx 板凳
bbdy 并不等于
bbf 背包袱
bbfd 板房
bbff 本本分分
bbfj 板斧
bbfk 避风
bbft 本办法
bbfx 辨别方向
bbg 步步高
bbgb 标杆
bbgbe 壁柜
bbgd 宝贝疙瘩
bbgf 标高
bbgj 辟谷
bbgl 标竿
bbgs 步步高升
bbgu 壁挂
bbgw 剥光
bbgwo 避光
bbgy 避过
bbh 并不会
bbhd 避讳
bbhdo 避祸
bbhe 壁画
bbheo 板画
bbhh 比比划划
bbhj 棒喝
bbhjo 标号
bbhjoe 版本号
bbhr 壁虎
bbhs 避寒
bbhsi 半壁河山
bbhy 板胡
bbhya 包办婚姻
bbhz 抱宝怀珍
bbja 标间
bbjb 避忌
bbjc 板结
bbjd 标记
bbje 杯具
bbjf 鞭不及腹
bbjg 不变价格
bbjh 标价
bbjl 变本加厉
bbjs 比比皆是
bbjsi 半壁江山
bbjx 步步惊心
bbjxo 不避艰险
bbjz 本报记者
bbjzo 标本兼治
bbk 不包括
bbkh 壁龛
bbkm 必不可免
bbkn 板块
bbkni 剥壳
bbko 避开
bbkoi 剥开
bbkr 板卡
bbks 必不可少
bbku 不包括
bbl 巴比伦
bblb 柏林
bblbo 槟榔
bblc 板脸
bblf 剥离
bblfe 壁立
bblg 壁炉
bblgi 棒料
bblh 巴比伦
bbli 标量
bblio 不变量
bbll 斑驳陆离
bbln 臂力
bblu 避雷
bblw 剥落
bblwi 半边莲
bblx 壁垒
bbly 板栗
bblz 颁布了
bbm 八百米
bbma 本部门
bbmb 柏木
bbmg 八百米
bbmi 标明
bbmk 避免
bbmko 标名
bbmm 爸爸妈妈
bbn 并不能
bbnc 臂臑
bbnk 败不馁
bbnl 避年
bbnn 白白嫩嫩
bbnni 别别扭扭
bbnx 避难
bbp 抱不平
bbph 标牌
bbpm 杯盘
bbpn 剥皮
bbpp 白白胖胖
bbpu 抱不平
bbpw 苯并芘
bbq 北半球
bbqb 标枪
bbqbo 板桥
bbqf 屏弃
bbqfo 保不齐
bbqg 遍布全国
bbqi 八步区
bbql 标签
bbqli 屏气
bbqlo 跛鳖千里
bbqn 板起
bbqni 剥去
bbqo 棒球
bbqoe 壁球
bbqoo 板球
bbqq 彪炳千秋
bbqt 标清
bbr 被别人
bbrd 避让
bbrdo 兵败如山倒
bbrh 被别人
bbs 并不是
bbsb 柏树
bbsc 标书
bbsco 板书
bbscu 彪炳史册
bbsd 标识
bbsdo 不必说
bbse 璧山
bbseo 八宝山
bbsg 榜首
bbsi 避暑
bbsio 板式
bbsj 勃勃生机
bbsk 剥蚀
bbske 壁饰
bbsl 避税
bbsm 不辨菽麦
bbso 标示
bbsp 板石
bbsr 壁上
bbsra 比不上
bbsro 标上
bbss 杯赛
bbsso 颁布实施
bbst 杯水
bbstu 步兵师
bbsy 避世
bbt 半边天
bbtc 剥脱
bbtd 避谈
bbte 标图
bbteo 标贴
bbti 标题
bbtj 巴比妥
bbtl 壁毯
bbto 半边天
bbtt 蹦蹦跳跳
bbtte 百般挑剔
bbvk 板儿
bbvs 苯丙氨酸
bbw 北部湾
bbwc 臂腕
bbwci 卑鄙无耻
bbwf 臂弯
bbwfu 榜文
bbwq 碧波万顷
bbwt 北部湾
bbww 病病歪歪
bbwx 白璧无瑕
bbwxe 白璧微瑕
bbwy 步步为营
bbx 百宝箱
bbxc 标线
bbxce 柏乡
bbxd 本报讯
bbxdi 拜把兄弟
bbxe 彬县
bbxh 屏息
bbxi 避邪
bbxl 百宝箱
bbxn 避嫌
bbxo 板型
bbxr 兵不血刃
bbxro 被保险人
bbxw 剥削
bbxwo 被剥削
bbxy 剥下
bbxyo 标下
bbxz 避险
bby 不必要
bbyb 榜样
bbybe 柏杨
bbybo 标引
bbyd 标语
bbye 榜眼
bbyeo 板眼
bbyeoe 板鸭
bbyeoo 不必因
bbyh 被边缘化
bbyi 板牙
bbyj 柏叶
bbyl 彬彬有礼
bbyn 避孕
bbyo 璧玉
bbyp 标有
bbyt 柏油
bbyta 北冰洋
bbyy 避雨
bbyya 巴布亚新几内亚
bbyyo 病病殃殃
bbyz 兵不厌诈
bbz 并不在
bbzb 八宝粥
bbzbo 不变资本
bbzc 壁纸
bbzd 不败之地
bbze 杯中
bbzee 臂助
bbzf 标准
bbzfe 臂章
bbzg 板着
bbzh 憋不住
bbzhe 背不住
bbzi 标致
bbzj 八拜之交
bbzji 辨别真假
bbzm 编笆造模
bbzn 标志
bbzne 百般阻挠
bbzp 板砖
bbzs 悲不自胜
bbzt 标注
bbzy 板载
bbzye 本本主义
bbzyo 不白之冤
bbzz 杯子
bbzze 柏子
bbzzi 棒子
bbzzia 拜把子
bbzzo 板子
bcb 备查簿
bcbb 膀臂
bcbc 彼此彼此
bcbd 把持不定
bcbj 罢黜百家
bcbl 不成比例
bcbn 编办
bcbo 编班
bcbs 本次比赛
bcbz 包吃包住
bcc 不成材
bccb 不成材
bcch 编创
bcck 被查处
bccl 编程
bccm 驳斥
bccmo 驳船
bccmoo 保持沉默
bccp 编成
bccz 编出
bcd 不错的
bcdb 编导
bcdd 编订
bcdg 胞弟
